Universe,Model Arm,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future 1-Yr Return (%),Future Sharpe,Future Max DD (%)
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),505,8.612320198536683,1.0176774604435244,-9.189706616578434,7.114813726264946,1.0742176954123333,-6.1947557903184185
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),505,10.50454683407871,1.0389821104244295,-10.84750189931186,6.572995510092383,0.8662694555813965,-7.2953220487613475
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),606,10.233537548699179,1.0772824683081228,-10.01868292411293,7.06147002899733,0.9700727129453645,-6.950934851896015
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),606,10.66892081763302,1.1386334883179319,-9.626932901074117,8.032747882148694,1.0853536236255652,-6.797245452471031
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),606,12.6548820010282,1.132706285098147,-11.325938694863895,7.440219215762656,0.8869853591188956,-8.068519960826551
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),707,10.270988822653603,1.077350969258357,-10.05322629788354,7.078500622004413,0.9690737010695488,-6.977369773388997
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),707,11.141764839643287,1.0360436783741314,-11.485388254756089,7.468078506248332,0.9102047279640217,-7.660078287990492
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),707,9.430044205810262,1.0471456679302122,-9.630892981463461,5.171120571693333,0.741430743491799,-6.967189015129469
2. 🇺🇸 US Tech & Benchmark Index,1. LSTM-DNN (60% Real),808,10.250866062812136,1.077155011412077,-10.041259626868763,7.060511613698983,0.9675456367497864,-6.969664344133214
2. 🇺🇸 US Tech & Benchmark Index,2. Real-PPO (60% Real),808,10.384273888967588,1.1545343199267482,-8.99026411242946,7.205083240045873,1.026798027610441,-6.347290872388046
2. 🇺🇸 US Tech & Benchmark Index,3. RAI v8.2 (0% Real),808,9.663035272398158,1.0671305357311611,-9.613536068565473,7.9850428696500275,1.1449948135126655,-6.4995728410491
