Seed,Day,P_up,Signal,Weight_per_asset,Total_equity_exposure
42,445,0.556904673576355,1,0.08,0.7999999999999999
42,446,0.5561327934265137,1,0.08,0.7999999999999999
42,447,0.555936872959137,1,0.08,0.7999999999999999
42,448,0.5557934045791626,1,0.08,0.7999999999999999
42,449,0.5547510981559753,1,0.08,0.7999999999999999
42,450,0.555467426776886,1,0.08,0.7999999999999999
42,451,0.5560002326965332,1,0.08,0.7999999999999999
42,452,0.5563768744468689,1,0.08,0.7999999999999999
42,453,0.5567179322242737,1,0.08,0.7999999999999999
42,454,0.5567001104354858,1,0.08,0.7999999999999999
42,455,0.5557167530059814,1,0.08,0.7999999999999999
42,456,0.557013750076294,1,0.08,0.7999999999999999
42,457,0.5568422675132751,1,0.08,0.7999999999999999
42,458,0.556494951248169,1,0.08,0.7999999999999999
42,459,0.5571112036705017,1,0.08,0.7999999999999999
42,460,0.5585392117500305,1,0.08,0.7999999999999999
42,461,0.558265745639801,1,0.08,0.7999999999999999
42,462,0.5582382082939148,1,0.08,0.7999999999999999
42,463,0.5559536814689636,1,0.08,0.7999999999999999
42,464,0.5571447014808655,1,0.08,0.7999999999999999
42,465,0.5589600801467896,1,0.08,0.7999999999999999
42,466,0.5579521059989929,1,0.08,0.7999999999999999
42,467,0.5568091869354248,1,0.08,0.7999999999999999
42,468,0.5574958920478821,1,0.08,0.7999999999999999
42,469,0.5581478476524353,1,0.08,0.7999999999999999
42,470,0.5549630522727966,1,0.08,0.7999999999999999
42,471,0.558875560760498,1,0.08,0.7999999999999999
42,472,0.5618630647659302,1,0.08,0.7999999999999999
42,473,0.5623697638511658,1,0.08,0.7999999999999999
42,474,0.5569681525230408,1,0.08,0.7999999999999999
42,475,0.5563103556632996,1,0.08,0.7999999999999999
42,476,0.5534449815750122,1,0.08,0.7999999999999999
42,477,0.5551532506942749,1,0.08,0.7999999999999999
42,478,0.5556159615516663,1,0.08,0.7999999999999999
42,479,0.5550940632820129,1,0.08,0.7999999999999999
42,480,0.5568362474441528,1,0.08,0.7999999999999999
101,0,0.5576068162918091,1,0.08,0.7999999999999999
101,1,0.5561420321464539,1,0.08,0.7999999999999999
101,2,0.5543901920318604,1,0.08,0.7999999999999999
101,3,0.5559168457984924,1,0.08,0.7999999999999999
101,4,0.5582532286643982,1,0.08,0.7999999999999999
101,5,0.5557683706283569,1,0.08,0.7999999999999999
101,6,0.5589310526847839,1,0.08,0.7999999999999999
101,7,0.5574928522109985,1,0.08,0.7999999999999999
101,8,0.5539529323577881,1,0.08,0.7999999999999999
101,9,0.5523421764373779,1,0.08,0.7999999999999999
101,10,0.5571928024291992,1,0.08,0.7999999999999999
101,11,0.5562673807144165,1,0.08,0.7999999999999999
101,12,0.5519387722015381,1,0.08,0.7999999999999999
101,13,0.5487092137336731,1,0.08,0.7999999999999999
101,14,0.5519323348999023,1,0.08,0.7999999999999999
101,15,0.5541800856590271,1,0.08,0.7999999999999999
101,16,0.5565688610076904,1,0.08,0.7999999999999999
101,17,0.5558506846427917,1,0.08,0.7999999999999999
101,18,0.556747317314148,1,0.08,0.7999999999999999
101,19,0.5562843680381775,1,0.08,0.7999999999999999
101,20,0.5514886975288391,1,0.08,0.7999999999999999
101,21,0.5571321249008179,1,0.08,0.7999999999999999
101,22,0.5509406328201294,1,0.08,0.7999999999999999
101,23,0.5530492067337036,1,0.08,0.7999999999999999
101,24,0.5541831254959106,1,0.08,0.7999999999999999
101,25,0.553799033164978,1,0.08,0.7999999999999999
101,26,0.5506663918495178,1,0.08,0.7999999999999999
101,27,0.5531841516494751,1,0.08,0.7999999999999999
101,28,0.5524627566337585,1,0.08,0.7999999999999999
101,29,0.5539851188659668,1,0.08,0.7999999999999999
101,30,0.5554443597793579,1,0.08,0.7999999999999999
101,31,0.5524868369102478,1,0.08,0.7999999999999999
101,32,0.5547711849212646,1,0.08,0.7999999999999999
101,33,0.5542652010917664,1,0.08,0.7999999999999999
101,34,0.5570991039276123,1,0.08,0.7999999999999999
101,35,0.5560005307197571,1,0.08,0.7999999999999999
101,36,0.5503054857254028,1,0.08,0.7999999999999999
101,37,0.5518195033073425,1,0.08,0.7999999999999999
101,38,0.5542424321174622,1,0.08,0.7999999999999999
101,39,0.5581225156784058,1,0.08,0.7999999999999999
101,40,0.5499886274337769,1,0.08,0.7999999999999999
101,41,0.5506649613380432,1,0.08,0.7999999999999999
101,42,0.5555858016014099,1,0.08,0.7999999999999999
101,43,0.5530548691749573,1,0.08,0.7999999999999999
101,44,0.5573679804801941,1,0.08,0.7999999999999999
101,45,0.5560802817344666,1,0.08,0.7999999999999999
101,46,0.5547361373901367,1,0.08,0.7999999999999999
101,47,0.5555108785629272,1,0.08,0.7999999999999999
101,48,0.5539336204528809,1,0.08,0.7999999999999999
101,49,0.55570387840271,1,0.08,0.7999999999999999
101,50,0.5552513599395752,1,0.08,0.7999999999999999
101,51,0.5569913387298584,1,0.08,0.7999999999999999
101,52,0.5531964302062988,1,0.08,0.7999999999999999
101,53,0.5495626330375671,1,0.08,0.7999999999999999
101,54,0.5548155307769775,1,0.08,0.7999999999999999
101,55,0.5554247498512268,1,0.08,0.7999999999999999
101,56,0.5573216080665588,1,0.08,0.7999999999999999
101,57,0.5587655901908875,1,0.08,0.7999999999999999
101,58,0.558369517326355,1,0.08,0.7999999999999999
101,59,0.5550730228424072,1,0.08,0.7999999999999999
101,60,0.5544767379760742,1,0.08,0.7999999999999999
101,61,0.5525452494621277,1,0.08,0.7999999999999999
101,62,0.5525178909301758,1,0.08,0.7999999999999999
101,63,0.5540266036987305,1,0.08,0.7999999999999999
