Universe,Seed,oos_repro,oos_ref,fut_repro,fut_ref,oos_abs_err,fut_abs_err
India_Nifty_50,606,0.0377369764641541,0.0153371596015347,-0.11208268796325929,-0.0598817918928557,0.022399816862619402,0.05220089607040359
India_Nifty_50,707,-0.13486728420400085,-0.176308703655721,-0.8324859121286359,-0.7759017112971401,0.04144141945172014,0.056584200831495735
India_Nifty_50,808,-0.19576383880627649,-0.2739770817591451,-0.3800267921770885,-0.3393426296891855,0.0782132429528686,0.04068416248790302
India_Nifty_50,909,-0.03924948363259161,-0.0646589678414061,-0.9036274013306289,-0.8403012590509878,0.025409484208814483,0.06332614227964106
Forex_Commodities,42,0.25838954919156304,0.2583911144936988,1.3234176110174816,1.3551004841411425,1.5653021357420194e-06,0.031682873123660915
Forex_Commodities,101,0.39556324815241184,0.3955638932918258,1.3714609697831834,1.392176854739504,6.451394139461719e-07,0.020715884956320485
Forex_Commodities,202,0.9909305026432398,0.9909289327953088,1.012372648477313,1.032407744681422,1.5698479309822488e-06,0.020035096204108926
Forex_Commodities,303,0.4492128782915889,0.4492129028645635,1.5480528300867022,1.5489279750715168,2.4572974599568198e-08,0.0008751449848145576
Forex_Commodities,404,-0.03550167375006674,-0.0354986468215761,1.8785668648950131,1.89746703003382,3.0269284906417337e-06,0.018900165138806768
Forex_Commodities,505,0.5824900640789874,0.5824879670848652,1.4726402310692424,1.4932357732046242,2.0969941222359623e-06,0.02059554213538184
Forex_Commodities,606,0.4257030647407877,0.4257057088696509,0.6258588315182011,0.6052114788759938,2.6441288632494953e-06,0.020647352642207295
Forex_Commodities,707,0.31658742078007707,0.3165884304037961,1.274005997580738,1.2786999358127795,1.0096237190171387e-06,0.00469393823204145
Forex_Commodities,808,0.23422733707081278,0.2342319290375539,1.4340453705580747,1.4562700833911666,4.591966741129827e-06,0.02222471283309191
Forex_Commodities,909,0.4127895844331949,0.4127916775020632,1.3307143749874357,1.340841419549754,2.0930688682807563e-06,0.010127044562318277
Crypto_PIT,42,0.8972492909223693,0.820884937869092,-1.5671875379491227,-1.5371950430846522,0.07636435305327727,0.02999249486447053
Crypto_PIT,101,1.0096182735825672,0.9355469598128212,-1.4366123886928328,-1.40078441274822,0.07407131376974596,0.03582797594461273
Crypto_PIT,202,1.4449204495602965,1.3398102773754943,-1.0628745384779086,-1.0146296456611494,0.10511017218480223,0.048244892816759144
Crypto_PIT,303,1.2858616157406275,1.18234307926266,-1.250202978361005,-1.2039957120953064,0.1035185364779676,0.04620726626569849
Crypto_PIT,404,1.258335165093185,1.1508098512144118,-1.1769607951419954,-1.1330747555847784,0.10752531387877329,0.04388603955721693
Crypto_PIT,505,1.3879700298457345,1.2822799385686217,-1.0197591688737047,-0.9732742996607036,0.10569009127711282,0.0464848692130011
Crypto_PIT,606,1.4465384347252332,1.3534235496102425,-1.1136194053500577,-1.0547569367269942,0.09311488511499078,0.058862468623063435
Crypto_PIT,707,1.2818235647435496,1.188593545389847,-1.222815441594962,-1.1821179054735935,0.09323001935370256,0.040697536121368394
Crypto_PIT,808,1.163591411981853,1.053398108849693,-1.0870420278097959,-1.0442036086493265,0.1101933031321598,0.042838419160469376
Crypto_PIT,909,1.2336036238969885,1.1438257807471466,-1.250466832779685,-1.2040104928188358,0.08977784314984194,0.0464563399608493
