n_axiom,n_base,mean_axiom,mean_base,sd_axiom,sd_base,diff,cohens_d,base_zero_variance,welch_t,welch_p,mwu_u,mwu_p,Universe,Window,Comparison,n_universes_welch_p_lt_05,sign_test_p,paired_ci95_lo,paired_ci95_hi,cluster_ols_beta,cluster_robust_se,naive_ols_se,cluster_ols_p_tG1,n_universes_axiom_ahead,base_is_deterministic_constant,test,unbalanced_no_seed_comparator
10,10,0.9141531584418543,0.2341042469349947,0.1270423758675867,0.039596995330739515,0.6800489115068595,7.227269099420337,False,16.16066499798756,7.100717577523376e-09,100.0,0.00018267179110955002,Global_Indices,Holdout,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,-0.46240139062060803,-1.4325570193424226,0.4094879909317745,0.3964785587307221,0.9701556287218146,2.407120417708433,False,5.382484884023744,4.102507337439654e-05,96.0,0.0005828399431792743,India_Nifty_50,Holdout,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,1.3400338779501724,-0.03616014078204569,0.3387323316100878,0.3466820405932107,1.3761940187322181,4.015385492657391,False,8.978674917448407,4.583068071722824e-08,100.0,0.00018267179110955002,Forex_Commodities,Holdout,Axiom vs XGBoost (real),,,,,,,,,,,,
10,10,-1.1748042812503559,-1.0770585056066009,0.17752377521890708,0.12596166326631636,-0.09774577564375497,-0.635054123042595,False,-1.420024188514758,0.17452500786000022,39.0,0.4273553138978077,Crypto_PIT,Holdout,Axiom vs XGBoost (real),,,,,,,,,,,,
60,60,0.6227569311544083,-0.1539332651873105,1.1015285395846046,0.8896428972501694,0.7766901963417188,0.7757541140175276,False,4.248980273248345,4.434249341641813e-05,2645.0,9.315730130345484e-06,POOLED (60 vs 60),Holdout,Axiom vs XGBoost (real),5.0,,,,,,,,,,,
6,6,0.6227569311544084,-0.15393326518731046,,,0.7766901963417189,1.5501006720739392,False,3.7969556965264246,0.012667878411327325,1.0,0.0625,CLUSTER-CORRECTED (n=6 universes),Holdout,Axiom vs XGBoost (real),,0.21875,0.2508621724700343,1.3025182202134036,0.7766901963417192,0.20542096764875678,0.1827944933592121,0.012877093123720191,5.0,,,
10,1,1.431598142460271,1.1430749060304737,0.16303000276965646,,0.2885232364297974,1.7697554531569817,False,5.596458133479491,0.00033579206113215317,0.0,0.001953125,US_ETFs,Holdout,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,1.6879620799451172,1.1430749060304737,0.21288316768841128,,0.5448871739146435,2.559559686335433,False,8.094038415966125,2.015929249148652e-05,0.0,0.001953125,US_MegaCap_PIT,Holdout,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,0.9141531584418543,1.1430749060304737,0.1270423758675867,,-0.22892174758861938,-1.8019321980188658,False,-5.698209934933162,0.0002949764458309156,0.0,0.001953125,Global_Indices,Holdout,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,-0.46240139062060803,1.5027170854594891,0.4094879909317745,,-1.965118476080097,-4.798964852689682,False,-15.175659345593818,1.0195674915018584e-07,0.0,0.001953125,India_Nifty_50,Holdout,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,1.3400338779501724,1.6144943731263002,0.3387323316100878,,-0.2744604951761278,-0.8102577450210959,False,-2.5622599660586185,0.030573560172531416,7.0,0.037109375,Forex_Commodities,Holdout,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
10,1,-1.1748042812503559,1.3163820048065005,0.17752377521890708,,-2.4911862860568563,-14.032972670758827,False,-44.37615598249404,7.488970503553188e-12,0.0,0.001953125,Crypto_PIT,Holdout,Axiom vs SPY B&H (fixed reference),,,,,,,,,,True,one-sample t of 10 Axiom seeds vs the SPY constant,
60,6,0.6227569311544083,1.3104696969139518,1.1015285395846046,0.20663400764539627,-0.6877127657595434,-0.6492750443218311,False,-4.159255575675932,0.00014628754919237107,130.0,0.26953113406447593,POOLED (60 vs 6),Holdout,Axiom vs SPY B&H (fixed reference),6.0,,,,,,,,,,,True
6,6,0.6227569311544084,1.3104696969139518,,,-0.6877127657595432,-0.5528163340610036,False,-1.3541179399254273,0.23368117845122355,7.0,0.5625,CLUSTER-CORRECTED (n=6 universes),Holdout,Axiom vs SPY B&H (fixed reference),,0.6875,-1.9932282542361597,0.6178027227170733,-0.6877127657595424,0.5118200389781046,0.45352276618636705,0.236810216590003,2.0,True,,
