Universe,Model,Seed,OOS Return (%),OOS Sharpe,OOS Max DD (%),Future Return (%),Future Sharpe,Future Max DD (%)
Global_Indices,Axiom v0.9,303,34.159094131247244,1.1139614609367179,-11.143062403967678,31.258735003309578,0.9639883490528055,-13.824136672860417
Global_Indices,Axiom v0.9,404,28.040542721726226,0.95379040137614,-11.521283760562659,35.26180610523686,1.0179029627217018,-13.833061569053365
Global_Indices,Axiom v0.9,505,35.580290675646495,1.2602885111021942,-11.047090173127987,27.452036621893704,0.9483376300653638,-12.478006938005981
Global_Indices,Axiom v0.9,606,18.55724127554188,0.5637440651253025,-13.249089665356733,21.73128143457117,0.6648146302623449,-15.91286445952311
Global_Indices,Axiom v0.9,707,18.42209394525294,0.8687069482692885,-7.707188064633423,21.30954851870346,0.9066049037694427,-10.286456384626266
Global_Indices,Axiom v0.9,808,23.625305546993758,1.2118572015389149,-7.4802727646638925,24.419551482072865,1.0995109444095095,-9.247748923361737
Global_Indices,Axiom v0.9,909,29.65238871999134,1.1853554636746095,-8.615970950643783,20.98383442320817,0.8017696184939479,-11.225623507309075
India_Nifty_50,Axiom v0.9,42,5.481951563409626,0.5550343157137247,-9.698941082914757,1.6741159964139385,0.2077634261910531,-11.646216775371645
India_Nifty_50,Axiom v0.9,101,6.689538260257866,0.6674264936492268,-7.853547342141402,-1.2947075401217756,-0.08516647954307172,-12.578601328765432
India_Nifty_50,Axiom v0.9,202,-1.5426493447554868,-0.05752362320349375,-15.092934697243393,-9.249219697159184,-0.6337521076446856,-18.7304203627607
India_Nifty_50,Axiom v0.9,303,-5.2610410614988945,-0.41336350539183137,-13.480780346143058,-11.307663684540314,-0.8850846838880435,-19.88636835905586
India_Nifty_50,Axiom v0.9,404,-3.0645973134191595,-0.19778455382222793,-11.533381435125927,-4.148021647376188,-0.2525651853522692,-14.484305418386262
India_Nifty_50,Axiom v0.9,505,2.5995003339968292,0.2958180056015896,-10.115162267429714,-11.25567939578117,-0.959781484038895,-18.354635827777933
India_Nifty_50,Axiom v0.9,606,-0.7096724249779807,0.015337159601534773,-14.629015921420699,-1.825343863818385,-0.05988179189285571,-14.972325076904127
India_Nifty_50,Axiom v0.9,707,-1.6567119222735016,-0.17630870365572102,-8.959327771506315,-6.704451934505284,-0.7759017112971401,-12.154310335657003
India_Nifty_50,Axiom v0.9,808,-2.8441698046623443,-0.27397708175914515,-8.866710090544391,-3.391613453492681,-0.33934262968918555,-11.435496451728257
India_Nifty_50,Axiom v0.9,909,-1.1551860508419165,-0.06465896784140615,-9.953351319757486,-8.770945886282899,-0.8403012590509878,-16.5473274338003
Forex_Commodities,Axiom v0.9,42,1.3045902548244115,0.2583911144936988,-4.660856989348259,9.564322676032333,1.3551004841411425,-5.9091554879760855
Forex_Commodities,Axiom v0.9,101,3.195143645027132,0.3955638932918258,-6.862656196961008,22.47520942203809,1.3921768547395041,-13.996498500784012
Forex_Commodities,Axiom v0.9,202,10.122207791374894,0.9909289327953087,-6.131002583798122,16.255575191666093,1.032407744681422,-15.667111979043744
Forex_Commodities,Axiom v0.9,303,4.211201479713322,0.44921290286456356,-7.177387443377093,16.64603402578897,1.5489279750715168,-7.148788797927384
Forex_Commodities,Axiom v0.9,404,-0.6658175813435863,-0.035498646821576184,-7.053888060733149,15.030690343388663,1.8974670300338201,-6.894524387708895
Forex_Commodities,Axiom v0.9,505,4.807465001576916,0.5824879670848652,-6.295727674456448,17.150810847851194,1.4932357732046242,-8.194330223580174
Forex_Commodities,Axiom v0.9,606,7.945276260155687,0.4257057088696509,-12.906173102937618,16.140267942087316,0.6052114788759938,-30.243286935788806
Forex_Commodities,Axiom v0.9,707,2.3764414426090674,0.3165884304037961,-6.008702245544381,9.696341300076616,1.2786999358127797,-4.125394050420731
Forex_Commodities,Axiom v0.9,808,1.5095731179222582,0.23423192903755397,-6.147402176806982,16.930549328985833,1.4562700833911666,-10.312307944247785
Forex_Commodities,Axiom v0.9,909,3.9830530130803066,0.41279167750206325,-8.030861207705552,20.298484366982585,1.340841419549754,-10.201538488360937
Crypto_PIT,Axiom v0.9,42,50.592569871869486,0.820884937869092,-45.58630894943076,-62.847524452695794,-1.5371950430846522,-66.76503709786729
Crypto_PIT,Axiom v0.9,101,56.175271522772775,0.9355469598128212,-39.553678099934515,-50.716817994028155,-1.4007844127482199,-55.233098152507154
Crypto_PIT,Axiom v0.9,202,110.1468114240895,1.3398102773754945,-45.41878018762983,-50.5300738803455,-1.0146296456611494,-60.16725957288609
Crypto_PIT,Axiom v0.9,303,107.47620300212688,1.1823430792626601,-47.97845837280661,-59.755505481404626,-1.2039957120953064,-66.38732175576553
Crypto_PIT,Axiom v0.9,404,91.02520359803997,1.1508098512144118,-47.016710464834276,-55.07025632013737,-1.1330747555847784,-62.2304714445656
Crypto_PIT,Axiom v0.9,505,88.0707854171669,1.2822799385686217,-38.283018567667185,-43.86943502790025,-0.9732742996607037,-54.65669859897433
Crypto_PIT,Axiom v0.9,606,122.41057992503053,1.3534235496102425,-43.47945522028068,-50.99410513587437,-1.0547569367269942,-58.830945837473
Crypto_PIT,Axiom v0.9,707,78.15541093395473,1.188593545389847,-35.385738985087656,-47.103735403437184,-1.1821179054735937,-54.37376060284279
Crypto_PIT,Axiom v0.9,808,52.50463569487997,1.0533981088496933,-36.116198150423706,-39.61286750678461,-1.0442036086493263,-48.922166432032405
Crypto_PIT,Axiom v0.9,909,86.03188821577209,1.1438257807471466,-41.35304689816158,-50.177124554674265,-1.2040104928188358,-57.0427060642132
