Universe,Window,Model,Seed,Offset,Sharpe,Return (%),Max DD (%),Rebalances,Mean Cash Frac,Mean Top Weight
US_ETFs,OOS,Axiom v0.9,404,-0.5,1.3693113634229162,21.54682153521945,-5.792363166250912,24,0.3292149304100076,0.24771526157848311
US_ETFs,OOS,Axiom v0.9,505,-0.5,1.514396111413962,15.789000367655337,-2.948609780414434,10,0.48336091418942656,0.15611597155364995
US_ETFs,OOS,Axiom v0.9,606,-0.5,1.0737675116939016,14.79265042767144,-6.042599019314968,17,0.2560661491728893,0.259379407077281
US_ETFs,OOS,Axiom v0.9,707,-0.5,1.354338195811912,6.591101266558952,-1.7666793638342762,7,0.798042384733472,0.06926560666856232
US_ETFs,OOS,Axiom v0.9,808,-0.5,1.5123178537380444,8.284148469168828,-1.8146164766768134,6,0.7830791899757668,0.05739312879956728
US_ETFs,OOS,Axiom v0.9,909,-0.5,1.2847361140753997,14.432025460878384,-3.5788931536569866,20,0.5608566204216374,0.11008071419111758
US_ETFs,OOS,RAI v6 Fast,-1,-0.5,0.8442247958322234,23.58454363894782,-12.221320440602069,221,0.29233880254690753,0.6094670534322968
US_ETFs,OOS,Axiom v0.9,42,0.0,1.128962476360421,8.297685151525314,-2.8964861337678665,8,0.7118863573873457,0.11698822654071467
US_ETFs,OOS,Axiom v0.9,101,0.0,1.0941682505517973,7.337537320439158,-2.0937308439736477,8,0.7559292159263185,0.089327241874174
US_ETFs,OOS,Axiom v0.9,202,0.0,1.545572212075585,29.06683648465085,-5.524651269069052,28,0.14179956586073644,0.2059271849795611
US_ETFs,OOS,Axiom v0.9,303,0.0,1.4033612074343764,27.684104150053646,-6.479481777820835,21,0.20745210852019752,0.1925644124678403
US_ETFs,OOS,Axiom v0.9,404,0.0,1.3648390648767856,17.541756383041207,-4.798547097091334,18,0.44669922813333623,0.20265115949526183
US_ETFs,OOS,Axiom v0.9,505,0.0,1.5069915922189845,11.876955283818269,-2.2696759372615927,9,0.6051703181030476,0.11812322162043269
US_ETFs,OOS,Axiom v0.9,606,0.0,1.0769641657443199,12.69421098452641,-5.215852514440746,16,0.36024933583987695,0.22357350986737423
US_ETFs,OOS,Axiom v0.9,707,0.0,1.2950439287798063,4.157201278498568,-1.1773403873397905,4,0.8659943315037872,0.045938427562839376
US_ETFs,OOS,Axiom v0.9,808,0.0,1.4451779984298678,5.256468064286857,-1.2535213580840467,3,0.854612712265381,0.03931231870967882
US_ETFs,OOS,Axiom v0.9,909,0.0,1.2734088765580855,10.439918763218214,-2.635016061566646,12,0.6748612642717289,0.08204071644475025
US_ETFs,OOS,RAI v6 Fast,-1,0.0,0.8554432877788517,19.786630085531943,-10.246666431840126,222,0.4113056457366963,0.49982477655312135
US_ETFs,Holdout,Axiom v0.9,42,-3.5,1.3716305958258073,38.11824423638459,-14.059258010057468,33,0.06940282804532018,0.39108876259646097
US_ETFs,Holdout,Axiom v0.9,101,-3.5,1.726866855895892,52.1347684949941,-12.768460022345934,52,0.0838537696819028,0.31561040978152277
US_ETFs,Holdout,Axiom v0.9,202,-3.5,1.497166154125271,33.19075735026089,-11.973289961010275,34,0.0050022884746073375,0.24482456468233885
US_ETFs,Holdout,Axiom v0.9,303,-3.5,1.2941533739132522,31.28305135791727,-13.750404020233242,21,0.007905989621151148,0.23936084402568897
US_ETFs,Holdout,Axiom v0.9,404,-3.5,1.3897695107712058,39.8689011139904,-11.84350684688937,29,0.023693979958785843,0.36116495472114796
US_ETFs,Holdout,Axiom v0.9,505,-3.5,1.569373539019589,30.119403503213427,-9.367535558938503,23,0.04438667571491502,0.2915528864481679
US_ETFs,Holdout,Axiom v0.9,606,-3.5,1.3048234105876653,21.077099414854228,-8.427930481836524,32,0.01733908223664124,0.34434250091368107
US_ETFs,Holdout,Axiom v0.9,707,-3.5,1.1696996907429307,25.85147193409172,-12.852547775519396,21,0.16200024262278512,0.2782215610774676
US_ETFs,Holdout,Axiom v0.9,808,-3.5,1.433762521232266,40.49909383304231,-11.464801775470148,38,0.14419582246656923,0.22584054785546348
US_ETFs,Holdout,Axiom v0.9,909,-3.5,1.5579997226255518,40.221987036847295,-14.096715222234907,37,0.05922120536238579,0.23356370094577714
